19-Jun,AAA,12.9,12.9
19-May,AAM,11.4,10.6
19-Jun,ABS,13.3,13.3
19-Apr,ABT,31.8,31.8
19-Jun,ACC,19,19
19-Jun,ACL,24.8,24.8
19-Jul,ADS,9.89,9.55
19-Jan,AGG,27.1,26.5
19-Apr,AGM,16.1,15.5
19-May,AGR,3.95,3.95
19-Oct,AMD,3.28,3.28
19-Nov,ANV,18.3,18.25
19-Apr,APC,23.8,23.8
19-May,APG,9.11,9.5
19-Mar,ASM,6.2,6.2
19-Mar,ASP,5.85,5.85
19-Apr,AST,53.6,53.6
19-May,ATG,0.74,0.85
19-Jun,BBC,49.7,48.5
19-Apr,BCE,8,8
19-Aug,BCG,6.2,6.2
19-Jun,BFC,12.65,13.5
19-Jul,BHN,55.3,55
19-Nov,BIC,22.4,21.3
19-May,BID,40.5,40.5
19-Jun,BMC,12.65,17
19-May,BMI,22.8,22.8
19-Feb,BMP,50.5,50.5
19-May,BRC,10.05,10.05
19-Jul,BTP,14.95,14.95
19-Nov,BTT,12.65,12.69
19-Mar,BVH,49.2,49.2
19-Dec,BWE,23.75,23.65
19-Nov,C32,24,23.8
19-Jan,C47,11,10.55
19-Feb,CAV,15.5,16.2
19-Mar,CCI,13.9,13.9
19-Apr,CCL,7,85
19-May,CCTD2001,1.87,1.75
19-Jun,CDC,16,16
19-Jul,CDPM2001,0.87,0.5
19-Aug,CDPM2002,2.33,2.3
19-May,CEE,15.05,14.5
19-Apr,CFPT1908,0.03,0.03
19-Nov,CFPT2001,0.42,0.42
19-May,CFPT2002,1.25,0.91
19-May,CFPT2003,10.02,10.01
19-Jul,CFPT2004,7.33,7.33
19-Jan,CFPT2005,7.59,7.54
19-Dec,CGMD2001,0.01,0.01
19-Nov,CHDB2001,0.07,0.06
18-Jun,CHDB2003,1.59,1.59
19-May,CHP,19,19
18-Dec,CHPG2001,1.12,1.12
18-May,CHPG2002,1.34,1.34
19-May,CHPG2004,2.71,2.71
19-Apr,CHPG2005,7.3,7.3
19-Nov,CHPG2006,2.71,2.71
19-Nov,CHPG2007,3.6,3.6
19-Apr,CII,19.5,19.5
18-Dec,CKG,10.7,10.5
18-Nov,CLC,27.05,27
18-Oct,CLG,1.45,1.45
19-Jan,CLL,28.1,28.1
19-Jan,CLW,15.1,14.2
19-Jan,CMBB2001,0.03,0.03
19-Jan,CMBB2002,1.47,1.47
19-Jan,CMBB2003,2.37,2.37
19-Jan,CMBB2004,1.46,1.46
19-Feb,CMBB2005,1.31,1.3
19-Feb,CMG,28.3,28.3
19-Feb,CMSN2001,1.58,1.58
19-Mar,CMSN2002,1.8,1.8
19-Mar,CMSN2003,1.21,1.21
19-Mar,CMSN2004,2.1,2.1
3/1/2019,CMV,11.55,11.45
3/1/2019,CMWG2001,0.02,0.01
3/1/2019,CMWG2002,0.07,0.04
3/1/2019,CMWG2004,0.01,0.01
19-Apr,CMWG2005,5.52,5.52
19-Apr,CMWG2006,1.65,1.35
19-May,CMX,18.25,18.25
19-May,CNG,20.85,20.85
19-Jun,CNVL2001,1.16,1.14
19-Jul,COM,12.3,12.5
19-Nov,CPNJ2002,3.2,3.2
19-Sep,CPNJ2003,0.7,0.7
19-Jan,CPNJ2004,0.7,0.7
19-Jan,CRC,12.6,12.6
19-Feb,CRE,17.5,17.5
19-Mar,CREE1905,0.05,0.05
19-May,CREE2001,0.08,0.06
19-Apr,CREE2002,1.15,1.15
19-May,CROS2001,0.01,0.01
19-Jun,CROS2002,1.58,1.58
19-Jul,CSBT2001,0.76,0.76
19-May,CSM,15.9,15.9
19-Jun,CSTB2001,0.62,0.61
19-May,CSTB2002,2.03,2.03
19-Mar,CSTB2003,1.8,1.8
19-Feb,CSV,22.5,22.2
19-Feb,CTCB2001,0.1,0.1
19-Apr,CTCB2003,1.29,1.25
19-May,CTCB2004,2.21,2.21
19-May,CTD,67,67
19-Jun,CTF,20.75,20.75
19-Jun,CTG,22.95,22.95
19-Jun,CTI,19,19
19-Jun,CTS,7.4,7.4
19-Feb,CVHM2001,1.64,1.45
19-Feb,CVIC2001,1.32,1.32
19-Nov,CVIC2002,0.52,0.52
19-Oct,CVJC2001,0.7,0.69
19-Oct,CVNM2001,0.7,0.7
1-Dec,CVNM2002,2.14,2.02
19-Feb,CVNM2003,2.91,2.91
19-Jan,CVPB2001,1.82,1.82
19-Oct,CVPB2003,2.2,2.2
19-Sep,CVPB2005,2.5,2.7
19-Apr,CVRE2001,0.17,0.16
19-May,CVRE2002,0.04,0.02
19-May,CVRE2003,0.8,0.79
19-Apr,CVRE2004,0.89,0.84
19-Jun,CVT,18.05,18.05
19-Feb,D2D,59.2,59.2
19-Apr,DAG,5.55,5.55
19-May,DAH,14,13.4
19-Aug,DAT,15,16
19-Jul,DBC,47.85,47.85
19-Sep,DBD,47,47
19-Jul,DCL,21.1,21.1
19-May,DCM,8.19,8.19
19-Feb,DGW,29.4,29.4
19-Jun,DHA,30.5,30.7
19-May,DHC,35,36
19-Nov,DHG,92,93
19-Dec,DHM,8.9,8.65
19-Nov,DIC,1.93,1.93
19-Apr,DIG,12.4,12.35
19-Apr,DLG,1.73,1.73
24-Jun,DMC,52,51.9
24-May,DPG,25.5,25.5
29-Jun,DPM,14,14
6-Jun,DPR,38,38
3-May,DQC,17,17
19-Sep,DRC,20,20
11-Oct,DRH,8.14,8.14
12-Dec,DRL,50,50
11-Aug,DSN,47,47
4-Apr,DTA,4.79,4.78
11-Sep,DTL,10.2,9.6
17-Sep,DTT,13.5,13.5
5-Sep,DVP,34.35,34.3
31-Mar,DXG,11.55,11.55
25-Jul,DXV,2.7,2.57
2-Jun,E1VFVN30,13.65,13.38
